ID,LID,Width,Color,type,LinkID
378,378,0.15,Y,0,9595
379,379,0.15,Y,0,19225
380,380,0.15,Y,0,19186
381,381,0.15,W,0,19225
382,382,0.15,W,0,19186
383,383,0.15,W,0,25062
384,384,0.15,W,0,25022
385,385,0.15,W,0,25062
386,386,0.15,W,0,25022
387,387,0.15,W,0,15106
388,388,0.15,W,0,15067
389,389,0.15,W,0,15611
390,390,0.15,W,0,15572
391,391,0.15,W,0,13457
392,392,0.15,W,0,13519
393,393,0.15,W,0,13558
394,394,0.15,W,0,13573
395,395,0.15,W,0,13587
396,396,0.15,W,0,13599
397,397,0.15,W,0,13610
398,398,0.15,W,0,13620
399,399,0.15,W,0,14163
400,400,0.15,W,0,13519
401,401,0.15,W,0,14265
402,402,0.15,W,0,14280
403,403,0.15,W,0,14295
404,404,0.15,W,0,14308
405,405,0.15,W,0,14320
406,406,0.15,W,0,13620
407,407,0.15,W,0,14163
408,408,0.15,W,0,14226
409,409,0.15,W,0,14265
410,410,0.15,W,0,14280
411,411,0.15,W,0,14295
412,412,0.15,W,0,14308
413,413,0.15,W,0,14320
414,414,0.15,W,0,14330
415,415,0.15,W,0,14502
416,416,0.15,W,0,14605
417,417,0.15,W,0,3830
418,418,0.15,W,0,3933
419,419,0.15,W,0,6748
420,420,0.15,W,0,6852
421,421,0.15,W,0,9666
422,422,0.15,W,0,9769
423,423,0.15,Y,0,9666
424,424,0.15,Y,0,9769
425,425,0.15,Y,0,19115
426,426,0.15,Y,0,19012
427,427,0.15,W,0,22033
428,428,0.15,W,0,19012
429,429,0.15,W,0,24951
430,430,0.15,W,0,24848
431,431,0.15,W,0,24951
432,432,0.15,W,0,17728
433,433,0.15,W,0,44179
434,434,0.15,W,0,16109
435,435,0.15,W,0,43416
436,436,0.15,W,0,43421
437,437,0.15,W,0,43431
438,438,0.15,W,0,43446
439,439,0.15,W,0,43461
440,440,0.15,W,0,43476
441,441,0.15,W,0,43491
442,442,0.15,W,0,43507
443,443,0.15,W,0,43522
444,444,0.15,W,0,43726
445,445,0.15,W,0,43729
446,446,0.15,W,0,43732
447,447,0.15,W,0,43741
448,448,0.15,W,0,43757
449,449,0.15,W,0,43772
450,450,0.15,W,0,43788
451,451,0.15,W,0,14771
452,452,0.15,W,0,43819
453,453,0.15,W,0,14802
454,454,0.15,W,0,14676
455,455,0.15,W,0,14714
456,456,0.15,W,0,43785
457,457,0.15,W,0,43823
458,458,0.15,W,0,4004
459,459,0.15,W,0,4042
460,460,0.15,W,0,4081
461,461,0.15,W,0,14791
462,462,0.15,W,0,6922
463,463,0.15,W,0,6961
464,464,0.15,W,0,6999
465,465,0.15,W,0,7037
466,466,0.15,W,0,9840
